,,omega,omegaProp,psi,psiAvgProp
d31357c71f9e720828296d3ca39834fba56e90199787d8b64cb26f828a85cd4a,,0.0,0.0,0.326,0.326
d4cae5c673abdfe151393ef467c7a5c7acb4d73b4f5dc67ebca8b1daa4e3f5b5,,0.0,0.0,0.613,0.613
4e853acd4c3d5004452e736c1688d8a4244d02944731cf79ee05a15467706b6d,,0.0,0.0,0.799,0.799
f418578201fe096c61a10266caedabf296888208887da8ec27a10997f9b1af92,,0.0,0.0,0.0,0.0
e944424effd90d2eae9f007102143f9f7c223b6bbd060e55312196997fda6914,,0.0,0.0,1.0,1.0
e4bcd67d875d616eef0a9ea1dee4c5029ce993c4e966f93bb195cdc8bcb58768,,0.0,0.0,0.0,0.0
798f793b242941fceef8ed0e33d3aa985b80811ce5eec05f78c3c8ff004281ab,,0.0,0.0,1.0,1.0
826d80e1a3e3aacdb5811b7c18e46a1fe54ecdb99bbbb57eb984964c283bd03d,,0.0,0.0,0.415,0.415
8aafdd0d0b9d7f6251a6131c4062262bbcc121f0aba9a38931dea24f652e246e,,0.0,0.0,0.816,0.816
f83f79b3cb016bcb224ae956e667020adc1e9716511fc06a1b6e0cb2dbf668b0,,0.0,0.0,0.0,0.0
b668699d5399c989f43cba46d1e314a815b3c54bc63df2a9255a17323cc2dbf7,,0.0,0.0,0.208,0.208
fe573e8e67f071c6304511a9d97e0535a81b08f3a6ba67a9478bac7f1ad6d9c8,,0.0,0.0,0.38,0.38
4b67dbf4141cf4f4f491568bc0b38375b635be7fb5f0c698519d78fe087dbada,,0.0,0.0,0.086,0.086
a2ab5d4d6bff1e7e795c6d040210a5c66d076ac3653473bb0306d3d6ac6a88f7,,0.0,0.0,0.0,0.0
48becd0c7c93fef82620bfa2ce8c2ee0d11295a9ab57ec1a2adacddc29d03551,,0.0,0.0,0.0,0.0
3423acf613feab03812cb523a6a224ea2417435f3f4fbdc81141db1728286106,,0.0,0.0,0.935,0.935
7cb6acad5979c9365a740fbef8b6f1b2dc8f8c70303ceb39f32622b96fba057b,,0.0,0.0,0.75,0.75
668e590a0386a2a6ecae28ddb3e5fa0dbecca1be393ce094df09c0c15b16d0c3,,0.0,0.0,0.897,0.897
8238364a06d8159bf8c99b1dfb173c33f58045caf15b0ea8c797c52c4bc983d9,,0.0,0.0,0.601,0.601
866beb5d0d01dd76590fcc0ab7b431beeaeae4b5c192489cc16279cef2c95891,,0.0,0.0,0.595,0.595
52522fa0636e5c0c8fd49aad5511e51cd6a47279a473d61b0d2dabcb18d751fe,,0.0,0.0,0.516,0.516
81a04e1c0fa2dd59eee2f339b73fa3a13c97f5aa7ed7b17fdcd3f421c9c4e831,,0.0,0.0,0.425,0.425
e087c8c14c2d9e654fcec9f8ed498afaecba57dff50b8fc34fbca64dda403122,,0.0,0.0,0.33,0.33
9f9351a061febeea05cc486ac7a586b4f0a17104cba22e624057147c29f11642,,0.0,0.0,0.144,0.144
a36a659f9081e133181ca4078f5b3e8d0729e310038bda6b2164fe81a6679b3a,,0.0,0.0,1.0,1.0
527e3b5de28ff643b1a8ece32fb4e828389f052a0eb3b304a9d698e5d3a0e858,,0.0,0.0,0.578,0.578
a48372462a6b99b2ea4ea8bbffbdf14904ed3a938c73cc3fde27f1f93a1ed2d6,,0.0,0.0,0.985,0.985
351f86d8a6a7573aa2b70708c7c32a0f3af10b801dd5e3bc74c7f942df429761,,0.0,0.0,0.403,0.403
18bdb0eaa130fcbc91b8e497cc4d352ad2d9735ec390cfc5e0d7e895f2acaee4,,0.0,0.0,0.0,0.0
227a6a4cc0238a2da8552d36057c20a28dc63c913d0ee766753cb0207039d682,,0.0,0.0,0.037,0.037
1a58bdce59f244bbb1069d04452e92137f591a5bd63f0a800623ebc1c5e9ec7d,,0.0,0.0,0.0,0.0
5251f370458cd8c372bf87ba25b528204b3df288a901b14c3cdf7f19eb53a440,,1.0,1.0,1.0,1.0
6d287b685bdc6860feee42ed9098a3d52e21a77fd42ec66234808416bfa4c904,,1.0,1.0,0.0,0.0
15e13e06f12d9a172caf096c97304aac19aa47959032530a33b678fcd966b882,,1.0,1.0,0.0,0.0
b5793f60fbb0285a24863984fbf9e01df26955dfc9461178364f7028d560aa65,,1.0,1.0,0.0,0.0
770722861bfb77c266445ddf42d47dd5a0be571ab865ee93e2b33108621c691a,,1.0,1.0,1.0,1.0
41285ac32d16f970a97c17aeb4d83e70944fd3f2f08790dfd8beb21ed8804f33,,1.0,1.0,1.0,1.0
d8122a4b612c139ee9c70527ea21ca34dbf61a540c609cbf8c7631b612d534e2,,1.0,1.0,1.0,1.0
09f069cb46813fa69745ebd6fd4d6db0fd415df23b89eba2567f47465d3c675b,,1.0,1.0,0.0,0.0
fb97f51ca70dc34f22fe5b9b9395d5d2f33764b2bc17b90bb52c3420bd8bb5b6,,1.0,1.0,0.0,0.0
