,,alt_sax_simple_base,slope_sax_simple_base,landcover_needle_sax_simple_base,landcover_herb_sax_simple_base,ph_sax_simple_base,carbon_sax_simple_base,sand_sax_simple_base,fragment_sax_simple_base,bio1_sax_simple_base,bio7_sax_simple_base,bio12_sax_simple_base,bio17_sax_simple_base,Env - Adjusted R-squared,East_Asia,Gulf_of_California_Xeric_scrub,Sierra_Madre_Oriental_Pine-Oak_Forests,Eastern_NA_and_Plains,Last_Glacial_Maximum,Great_Basin,Rocky_Mountains,BG - Adjusted R-squared
Node_35,F-values,0.932,0.867,0.858,0.862,0.859,0.844,0.822,0.828,0.821,0.824,0.822,0.82,0.935,0.865,0.834,0.733,0.731,0.731,0.73,0.725,0.756
Node_47,F-values,0.99,0.735,0.722,0.706,0.712,0.723,0.722,0.695,0.712,0.71,0.702,0.707,0.99,0.992,0.962,0.964,0.963,0.963,0.963,0.964,0.998
Node_84,F-values,0.521,0.43,0.415,0.394,0.43,0.42,0.413,0.417,0.407,0.417,0.411,0.423,0.569,0.429,0.339,0.215,0.21,0.212,0.201,0.204,0.268
Node_87,F-values,0.09,0.228,0.21,0.212,0.213,0.213,0.213,0.214,0.216,0.213,0.213,0.214,0.042,0.785,0.695,0.65,0.651,0.647,0.643,0.645,0.763
Node_80,F-values,0.993,0.935,0.939,0.937,0.94,0.942,0.935,0.936,0.941,0.933,0.94,0.944,0.997,0.928,0.835,0.836,0.834,0.833,0.831,0.83,0.956
Node_81,F-values,0.992,0.674,0.675,0.664,0.673,0.666,0.675,0.664,0.666,0.671,0.667,0.668,0.993,0.934,0.847,0.847,0.844,0.844,0.844,0.844,0.957
Node_36,F-values,0.99,0.94,0.935,0.936,0.938,0.937,0.936,0.935,0.936,0.936,0.936,0.936,0.99,0.926,0.852,0.846,0.846,0.845,0.845,0.845,0.946
Node_8,F-values,0.686,0.681,0.679,0.676,0.681,0.68,0.682,0.676,0.681,0.675,0.676,0.679,0.69,0.287,0.262,0.167,0.168,0.168,0.157,0.156,0.168
Node_112,F-values,0.037,0.355,0.344,0.351,0.347,0.351,0.345,0.347,0.349,0.346,0.34,0.347,0.018,0.014,0.184,0.185,0.185,0.185,0.185,0.185,0.19
Node_117,F-values,0.185,0.387,0.309,0.375,0.368,0.372,0.386,0.38,0.363,0.369,0.325,0.362,0.032,0.003,0.581,0.583,0.584,0.582,0.582,0.58,0.958
Node_120,F-values,0.064,0.716,0.739,0.724,0.724,0.722,0.725,0.725,0.729,0.724,0.723,0.715,0.031,0.924,0.745,0.745,0.738,0.737,0.733,0.731,0.963
Node_114,F-values,0.041,0.685,0.667,0.64,0.637,0.632,0.636,0.636,0.642,0.436,0.641,0.626,0.202,0.926,0.79,0.791,0.791,0.791,0.791,0.787,0.954
Node_7,F-values,0.984,0.557,0.555,0.545,0.556,0.541,0.539,0.54,0.539,0.543,0.554,0.544,0.984,0.936,0.661,0.66,0.662,0.66,0.658,0.659,0.972
Node_6,F-values,0.985,0.562,0.545,0.546,0.541,0.539,0.55,0.536,0.541,0.526,0.54,0.55,0.985,0.939,0.613,0.611,0.611,0.611,0.611,0.61,0.973
Node_119,F-values,0.025,0.584,0.195,0.563,0.572,0.575,0.568,0.553,0.564,0.564,0.565,0.584,0.006,0.943,0.619,0.618,0.617,0.618,0.618,0.618,0.976
Node_4,F-values,0.985,0.537,0.525,0.537,0.521,0.512,0.523,0.528,0.516,0.525,0.519,0.524,0.985,0.947,0.57,0.571,0.57,0.568,0.569,0.565,0.977
Node_3,F-values,0.116,0.546,0.548,0.534,0.537,0.543,0.548,0.543,0.542,0.536,0.547,0.539,0.13,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.0
Node_0,F-values,0.023,0.506,0.494,0.482,0.494,0.491,0.479,0.486,0.48,0.478,0.474,0.481,0.023,0.048,0.023,0.038,0.029,0.035,0.02,0.018,0.009
Node_51,F-values,0.262,0.317,0.307,0.311,0.309,0.318,0.31,0.3,0.306,0.311,0.304,0.311,0.619,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0
Node_50,F-values,0.698,0.219,0.224,0.239,0.134,0.137,0.244,0.243,0.248,0.234,0.237,0.238,0.357,0.165,0.143,0.087,0.09,0.09,0.077,0.072,0.094
Node_79,F-values,0.971,0.617,0.617,0.618,0.616,0.606,0.623,0.628,0.586,0.601,0.603,0.604,0.025,0.875,0.69,0.696,0.699,0.684,0.687,0.694,0.945
Node_54,F-values,0.214,0.199,0.21,0.218,0.204,0.215,0.205,0.207,0.205,0.201,0.203,0.201,0.151,0.086,0.083,0.025,0.021,0.021,0.013,0.013,0.015
Node_77,F-values,0.964,0.584,0.595,0.583,0.586,0.568,0.574,0.574,0.564,0.578,0.586,0.572,0.966,0.878,0.739,0.737,0.733,0.734,0.732,0.731,0.922
Node_58,F-values,0.741,0.925,0.929,0.927,0.93,0.927,0.204,0.924,0.712,0.304,0.569,0.927,0.775,0.898,0.745,0.743,0.739,0.733,0.731,0.728,0.944
Node_71,F-values,0.968,0.511,0.495,0.474,0.491,0.481,0.477,0.465,0.469,0.481,0.467,0.473,0.97,0.903,0.795,0.797,0.796,0.796,0.797,0.796,0.941
Node_5,F-values,0.02,0.037,0.165,0.158,0.159,0.183,0.074,0.142,0.096,0.206,0.16,0.186,0.013,0.455,0.383,0.292,0.29,0.298,0.284,0.283,0.341
Node_72,F-values,0.962,0.824,0.823,0.828,0.824,0.819,0.829,0.826,0.825,0.832,0.834,0.826,0.972,0.864,0.801,0.801,0.802,0.799,0.799,0.798,0.914
Node_39,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_19,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Node_16,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_32,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_13,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_12,F-values,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_10,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_97,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_95,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_94,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_91,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_90,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_99,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_100,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_26,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_102,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_123,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_106,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_107,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_108,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_40,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_41,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_68,F-values,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
